,TXNAME,GENENAME
537,ENSMUST00000003635.6,Ier3
538,ENSMUST00000003640.3,Fosb
539,ENSMUST00000003642.6,Klc4
540,ENSMUST00000003643.2,Ckm
541,ENSMUST00000003645.8,Ercc1
542,ENSMUST00000003655.8,As3mt
543,ENSMUST00000003659.8,Comp
544,ENSMUST00000003669.7,Homer3
545,ENSMUST00000003677.10,Rnf215
546,ENSMUST00000003681.7,Sec14l2
547,ENSMUST00000003687.7,Tgfb3
548,ENSMUST00000003705.11,Aven
549,ENSMUST00000003710.9,Aak1
550,ENSMUST00000003714.12,Cp
551,ENSMUST00000003717.12,Abcb4
552,ENSMUST00000003720.4,Crot
553,ENSMUST00000003726.15,Brd4
554,ENSMUST00000003741.15,Rps6ka1
555,ENSMUST00000003754.7,Calb2
556,ENSMUST00000003759.10,Ciao1
557,ENSMUST00000003762.7,Has1
558,ENSMUST00000003777.4,Taf6l
559,ENSMUST00000003808.7,Gdf15
560,ENSMUST00000003818.13,Insig2
561,ENSMUST00000003826.7,Htr3a
562,ENSMUST00000003828.10,Kpna6
563,ENSMUST00000003843.15,Man1a
564,ENSMUST00000003850.7,Itpkc
565,ENSMUST00000003857.6,Shkbp1
566,ENSMUST00000003860.12,Adck4
567,ENSMUST00000003870.14,Mxi1
568,ENSMUST00000003876.9,Brd8
569,ENSMUST00000003898.11,Ece2
570,ENSMUST00000003906.12,Farsa
571,ENSMUST00000003907.13,Gcdh
572,ENSMUST00000003908.10,Mast2
573,ENSMUST00000003910.12,Dnase2a
574,ENSMUST00000003911.12,Rad23a
575,ENSMUST00000003912.6,Calr
576,ENSMUST00000003922.5,Syce2
577,ENSMUST00000003946.8,Nob1
578,ENSMUST00000003947.8,Nqo1
579,ENSMUST00000003961.15,Ppfia3
580,ENSMUST00000003964.16,Gys1
581,ENSMUST00000003971.9,Lin7b
582,ENSMUST00000003981.5,Il7r
583,ENSMUST00000004036.5,Efnb3
584,ENSMUST00000004050.6,Mmd
585,ENSMUST00000004051.7,Hlf
586,ENSMUST00000004054.12,Kpna1
587,ENSMUST00000004055.9,Dzip1
588,ENSMUST00000004057.8,Fam162a
589,ENSMUST00000004072.9,Rpl8
590,ENSMUST00000004076.4,Grm3
591,ENSMUST00000004094.14,Ssbp2
592,ENSMUST00000004097.15,Cux1
593,ENSMUST00000004120.8,Fancl
594,ENSMUST00000004133.10,Brinp2
595,ENSMUST00000004134.10,Gstm5
596,ENSMUST00000004136.9,Gstm3
597,ENSMUST00000004137.10,Gstm7
598,ENSMUST00000004140.10,Gstm1
599,ENSMUST00000004143.2,Stat5b
600,ENSMUST00000004145.13,Stat5a
601,ENSMUST00000004156.9,Map3k11
602,ENSMUST00000004172.14,Hmox2
603,ENSMUST00000004173.11,Cdip1
604,ENSMUST00000004200.8,Cwc15
605,ENSMUST00000004201.7,Col5a3
606,ENSMUST00000004202.16,Dnmt1
607,ENSMUST00000004203.5,Ppan
608,ENSMUST00000004206.9,Eif3g
609,ENSMUST00000004208.6,Angptl2
610,ENSMUST00000004214.14,Cacna1e
611,ENSMUST00000004222.13,Hira
612,ENSMUST00000004232.9,Adh1
613,ENSMUST00000004281.9,Dyrk2
614,ENSMUST00000004294.11,Kifc2
615,ENSMUST00000004316.14,Psap
616,ENSMUST00000004326.3,Plxna3
617,ENSMUST00000004327.10,G6pdx
618,ENSMUST00000004330.9,Ikbkg
619,ENSMUST00000004340.10,Pax2
620,ENSMUST00000004343.6,Wars2
621,ENSMUST00000004375.15,Phb2
622,ENSMUST00000004377.14,Ptpn6
623,ENSMUST00000004378.14,Eno2
624,ENSMUST00000004379.7,Emg1
625,ENSMUST00000004381.13,Lpcat3
626,ENSMUST00000004389.5,Grcc10
627,ENSMUST00000004392.11,Irf5
628,ENSMUST00000004396.12,Atp6v1f
629,ENSMUST00000004428.13,Clcn5
630,ENSMUST00000004430.13,Clcn3
631,ENSMUST00000004453.8,Gpx6
632,ENSMUST00000004470.8,Utp20
633,ENSMUST00000004473.14,Spic
634,ENSMUST00000004480.4,Sst
635,ENSMUST00000004494.15,Sin3b
636,ENSMUST00000004497.10,Large
637,ENSMUST00000004505.2,Npc1l1
638,ENSMUST00000004507.10,Ddx56
639,ENSMUST00000004508.12,Tmed4
640,ENSMUST00000004554.13,Rps5
641,ENSMUST00000004560.11,Bid
642,ENSMUST00000004565.14,Ralb
643,ENSMUST00000004574.13,Dnajb11
644,ENSMUST00000004576.7,Tbccd1
